dir	example	argv	variant	status	exit	seconds	stdout_bytes	stdout_sha256
arkode/C_klu	ark_brusselator1D_klu		ark_brusselator1D_klu	OK	0	0.206	1214	365c8bc73c2f86b2
arkode/C_manyvector	ark_brusselator1D_manyvec		ark_brusselator1D_manyvec	OK	0	0.206	5707	24aee5c1f3d93589
arkode/C_openmp	ark_brusselator1D_omp	4	ark_brusselator1D_omp__4	OK	0	0.306	5685	417d59500345a7ed
arkode/C_openmp	ark_heat1D_omp	4	ark_heat1D_omp__4	OK	0	0.407	864	a74d6184e56f40da
arkode/C_parallel	ark_brusselator1D_task_local_nls	--monitor	ark_brusselator1D_task_local_nls__--monitor	OK	0	1.006	3062	54ecd01207d9bbbb
arkode/C_parallel	ark_brusselator1D_task_local_nls	--monitor --global-nls	ark_brusselator1D_task_local_nls__--monitor_--global-nls	OK	0	0.607	3243	0d324d69afe7d0fa
arkode/C_parallel	ark_brusselator1D_task_local_nls	--monitor --explicit --tf 3	ark_brusselator1D_task_local_nls__--monitor_--explicit_--tf_3	OK	0	1.108	2993	5c5cb08492f484af
arkode/C_parallel	ark_diurnal_kry_bbd_p		ark_diurnal_kry_bbd_p	OK	0	0.606	5074	c618c8972bb0edcf
arkode/C_parallel	ark_diurnal_kry_p		ark_diurnal_kry_p	OK	0	0.606	2276	6caa5dd885906906
arkode/C_parhyp	ark_diurnal_kry_ph		ark_diurnal_kry_ph	OK	0	0.707	2276	aa9c979c6dd2e6dc
arkode/C_serial	ark_advection_diffusion_reaction_splitting		ark_advection_diffusion_reaction_splitting	OK	0	0.206	3288	a7201d99d2ef8191
arkode/C_serial	ark_analytic		ark_analytic	OK	0	0.206	2021	797551566bda7fc1
arkode/C_serial	ark_analytic	arkode.scalar_tolerances 1e-6 1e-8 arkode.table_names ARKODE_ESDIRK547L2SA_7_4_5 ARKODE_ERK_NONE	ark_analytic__arkode.scalar_tolerances_1e-6_1e-8_arkode.table_names_ARKODE_ESDIRK547L2SA_7_4_5_ARKODE_ERK_NONE	OK	0	0.206	2021	1b87b7662db00102
arkode/C_serial	ark_analytic_lsrk		ark_analytic_lsrk	OK	0	0.206	1143	36e22a81ef15ab89
arkode/C_serial	ark_analytic_lsrk_domeigest		ark_analytic_lsrk_domeigest	OK	0	0.207	1384	b46ff126d0c634b6
arkode/C_serial	ark_analytic_lsrk_domeigest	arkid.dom_eig_est_init_preprocess_iters 1 sundomeigestimator.max_iters 1	ark_analytic_lsrk_domeigest__arkid.dom_eig_est_init_preprocess_iters_1_sundomeigestimator.max_iters_1	OK	0	0.206	1373	37196c8ab48d1169
arkode/C_serial	ark_analytic_lsrk_varjac		ark_analytic_lsrk_varjac	OK	0	0.206	1302	868672563561b9a7
arkode/C_serial	ark_analytic_mels		ark_analytic_mels	OK	0	0.205	801	f509501a8a065347
arkode/C_serial	ark_analytic_nonlin		ark_analytic_nonlin	OK	0	0.206	886	209ca7f82f9e0980
arkode/C_serial	ark_analytic_partitioned	forcing	ark_analytic_partitioned__forcing	OK	0	0.206	1673	7988580f398e9252
arkode/C_serial	ark_analytic_partitioned	splitting	ark_analytic_partitioned__splitting	OK	0	0.206	1673	c391ec1ac3886eba
arkode/C_serial	ark_analytic_partitioned	splitting ARKODE_SPLITTING_BEST_2_2_2	ark_analytic_partitioned__splitting_ARKODE_SPLITTING_BEST_2_2_2	OK	0	0.206	1750	4d239765e8cc1481
arkode/C_serial	ark_analytic_partitioned	splitting ARKODE_SPLITTING_RUTH_3_3_2	ark_analytic_partitioned__splitting_ARKODE_SPLITTING_RUTH_3_3_2	OK	0	0.206	1754	94a46ae122f59f3d
arkode/C_serial	ark_analytic_partitioned	splitting ARKODE_SPLITTING_YOSHIDA_8_6_2	ark_analytic_partitioned__splitting_ARKODE_SPLITTING_YOSHIDA_8_6_2	OK	0	0.206	1759	f37ce593b0b93457
arkode/C_serial	ark_analytic_ssprk		ark_analytic_ssprk	OK	0	0.206	990	e71b9e4dbe82dc51
arkode/C_serial	ark_brusselator		ark_brusselator	OK	0	0.206	1320	9d8fac6203f417e3
arkode/C_serial	ark_brusselator1D		ark_brusselator1D	OK	0	0.206	5665	403a2dfeb4cf80d4
arkode/C_serial	ark_brusselator1D_imexmri	0 0.001	ark_brusselator1D_imexmri__0_0.001	OK	0	2.508	1299	f183b726edb2d41a
arkode/C_serial	ark_brusselator1D_imexmri	2 0.001	ark_brusselator1D_imexmri__2_0.001	OK	0	0.806	1328	1c205aa5eed96632
arkode/C_serial	ark_brusselator1D_imexmri	3 0.001	ark_brusselator1D_imexmri__3_0.001	OK	0	2.608	1423	10f894648e4f1ac4
arkode/C_serial	ark_brusselator1D_imexmri	4 0.001	ark_brusselator1D_imexmri__4_0.001	OK	0	0.806	1334	026ad2f80798c9f8
arkode/C_serial	ark_brusselator1D_imexmri	5 0.001	ark_brusselator1D_imexmri__5_0.001	OK	0	3.410	1430	d6aac9dd28ed1935
arkode/C_serial	ark_brusselator1D_imexmri	6 0.001	ark_brusselator1D_imexmri__6_0.001	OK	0	1.007	1336	27d896e2c9687e8f
arkode/C_serial	ark_brusselator1D_imexmri	7 0.001	ark_brusselator1D_imexmri__7_0.001	OK	0	5.912	1440	e6313b9fb9740773
arkode/C_serial	ark_brusselator_1D_mri		ark_brusselator_1D_mri	OK	0	0.406	5681	9394fb3de3a8b800
arkode/C_serial	ark_brusselator_fp		ark_brusselator_fp	OK	0	0.206	1107	aa3549a18920c9a2
arkode/C_serial	ark_brusselator_fp	1	ark_brusselator_fp__1	OK	0	0.206	1107	aa3549a18920c9a2
arkode/C_serial	ark_brusselator_lsrk_domeigest		ark_brusselator_lsrk_domeigest	OK	0	0.206	1641	1df50afaace183d3
arkode/C_serial	ark_brusselator_lsrk_externaldomeigest		ark_brusselator_lsrk_externaldomeigest	OK	0	0.206	1570	c0090f25971d0f6a
arkode/C_serial	ark_brusselator_mri		ark_brusselator_mri	OK	0	0.206	1443	922387ecfc682c5c
arkode/C_serial	ark_conserved_exp_entropy_ark	1 0	ark_conserved_exp_entropy_ark__1_0	OK	0	0.206	2938	96d1778ee80203e4
arkode/C_serial	ark_conserved_exp_entropy_ark	1 1	ark_conserved_exp_entropy_ark__1_1	OK	0	0.207	2209	94a28cd0e9dad9dd
