dir	example	argv	variant	default_class	host_libm_class
cvode/serial	cvAdvDiff_bnd		cvAdvDiff_bnd	IDENTICAL	IDENTICAL
cvode/serial	cvAnalytic_mels		cvAnalytic_mels	IDENTICAL	IDENTICAL
cvode/serial	cvDirectDemo_ls		cvDirectDemo_ls	IDENTICAL	IDENTICAL
cvode/serial	cvDisc_dns		cvDisc_dns	IDENTICAL	IDENTICAL
cvode/serial	cvDiurnal_kry_bp		cvDiurnal_kry_bp	IDENTICAL	IDENTICAL
cvode/serial	cvDiurnal_kry		cvDiurnal_kry	IDENTICAL	IDENTICAL
cvode/serial	cvKrylovDemo_ls		cvKrylovDemo_ls	IDENTICAL	IDENTICAL
cvode/serial	cvKrylovDemo_ls	1	cvKrylovDemo_ls__1	IDENTICAL	IDENTICAL
cvode/serial	cvKrylovDemo_ls	2	cvKrylovDemo_ls__2	IDENTICAL	IDENTICAL
cvode/serial	cvKrylovDemo_prec		cvKrylovDemo_prec	IDENTICAL	IDENTICAL
cvode/serial	cvParticle_dns		cvParticle_dns	IDENTICAL	IDENTICAL
cvode/serial	cvPendulum_dns		cvPendulum_dns	IDENTICAL	IDENTICAL
cvode/serial	cvRoberts_dns		cvRoberts_dns	IDENTICAL	IDENTICAL
cvode/serial	cvRoberts_dns_constraints		cvRoberts_dns_constraints	IDENTICAL	IDENTICAL
cvode/serial	cvRoberts_dns_negsol		cvRoberts_dns_negsol	IDENTICAL	IDENTICAL
cvode/serial	cvRoberts_dns_uw		cvRoberts_dns_uw	IDENTICAL	IDENTICAL
cvode/serial	cvRocket_dns		cvRocket_dns	IDENTICAL	IDENTICAL
cvode/serial	cvVdp_auto_nls		cvVdp_auto_nls	IDENTICAL	IDENTICAL
cvode/serial	cvKrylovDemo_ls	0 1	cvKrylovDemo_ls__0_1	IDENTICAL	IDENTICAL
cvode/serial	cvAdvDiff_bndL		cvAdvDiff_bndL	IDENTICAL	IDENTICAL
cvode/serial	cvRoberts_dnsL		cvRoberts_dnsL	IDENTICAL	IDENTICAL
cvode/serial	cvRoberts_block_klu		cvRoberts_block_klu	NUMERIC	DIFFERS
cvode/serial	cvRoberts_klu		cvRoberts_klu	NUMERIC	DIFFERS
cvodes/serial	cvsAdvDiff_ASAi_bnd		cvsAdvDiff_ASAi_bnd	IDENTICAL	IDENTICAL
cvodes/serial	cvsAdvDiff_FSA_non	-sensi sim t	cvsAdvDiff_FSA_non__-sensi_sim_t	IDENTICAL	IDENTICAL
cvodes/serial	cvsAdvDiff_FSA_non	-sensi stg t	cvsAdvDiff_FSA_non__-sensi_stg_t	IDENTICAL	IDENTICAL
