dir	example	argv	variant	class	c_status	rust_status	diff_lines	total_lines	worst_rel	worst_ulp	detail
arkode/C_serial	ark_KrylovDemo_prec		ark_KrylovDemo_prec	IDENTICAL	OK	OK					
arkode/C_serial	ark_KrylovDemo_prec	1	ark_KrylovDemo_prec__1	IDENTICAL	OK	OK					
arkode/C_serial	ark_KrylovDemo_prec	2	ark_KrylovDemo_prec__2	IDENTICAL	OK	OK					
arkode/C_serial	ark_advection_diffusion_reaction_splitting		ark_advection_diffusion_reaction_splitting	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic		ark_analytic	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic	arkode.scalar_tolerances 1e-6 1e-8 arkode.table_names ARKODE_ESDIRK547L2SA_7_4_5 ARKODE_ERK_NONE	ark_analytic__arkode.scalar_tolerances_1e-6_1e-8_arkode.table_names_ARKODE_ESDIRK547L2SA_7_4_5_ARKODE_ERK_NONE	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic_lsrk		ark_analytic_lsrk	NUMERIC	OK	OK	7	40	2.818e-01	1873581158628234	line 40 field 0
arkode/C_serial	ark_analytic_lsrk_domeigest		ark_analytic_lsrk_domeigest	NUMERIC	OK	OK	14	46	2.600e-01	2020902451812283	line 46 field 0
arkode/C_serial	ark_analytic_lsrk_domeigest	arkid.dom_eig_est_init_preprocess_iters 1 sundomeigestimator.max_iters 1	ark_analytic_lsrk_domeigest__arkid.dom_eig_est_init_preprocess_iters_1_sundomeigestimator.max_iters_1	NUMERIC	OK	OK	14	46	5.995e-01	6205658242664437	line 46 field 0
arkode/C_serial	ark_analytic_lsrk_varjac		ark_analytic_lsrk_varjac	NUMERIC	OK	OK	12	44	2.036e-01	1807600431283255	line 44 field 0
arkode/C_serial	ark_analytic_mels		ark_analytic_mels	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic_nonlin		ark_analytic_nonlin	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic_partitioned	forcing	ark_analytic_partitioned__forcing	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic_partitioned	splitting	ark_analytic_partitioned__splitting	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic_partitioned	splitting ARKODE_SPLITTING_BEST_2_2_2	ark_analytic_partitioned__splitting_ARKODE_SPLITTING_BEST_2_2_2	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic_partitioned	splitting ARKODE_SPLITTING_RUTH_3_3_2	ark_analytic_partitioned__splitting_ARKODE_SPLITTING_RUTH_3_3_2	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic_partitioned	splitting ARKODE_SPLITTING_YOSHIDA_8_6_2	ark_analytic_partitioned__splitting_ARKODE_SPLITTING_YOSHIDA_8_6_2	IDENTICAL	OK	OK					
arkode/C_serial	ark_analytic_ssprk		ark_analytic_ssprk	IDENTICAL	OK	OK					
arkode/C_serial	ark_brusselator		ark_brusselator	IDENTICAL	OK	OK					
arkode/C_serial	ark_brusselator1D		ark_brusselator1D	IDENTICAL	OK	OK					
arkode/C_serial	ark_brusselator1D_imexmri	0 0.001	ark_brusselator1D_imexmri__0_0.001	IDENTICAL	OK	OK					
arkode/C_serial	ark_brusselator1D_imexmri	2 0.001	ark_brusselator1D_imexmri__2_0.001	IDENTICAL	OK	OK					
arkode/C_serial	ark_brusselator1D_imexmri	3 0.001	ark_brusselator1D_imexmri__3_0.001	IDENTICAL	OK	OK					
