dir	example	argv	variant	status	exit	seconds	stdout_bytes	stdout_sha256
cvode/serial	cvAdvDiff_bnd		cvAdvDiff_bnd	OK	0	0.105	848	2ea0937bb293ce55
cvode/serial	cvAnalytic_mels		cvAnalytic_mels	OK	0	0.105	770	c13a8a670343e246
cvode/serial	cvDirectDemo_ls		cvDirectDemo_ls	OK	0	0.106	17673	a19abd5087bb90d0
cvode/serial	cvDisc_dns		cvDisc_dns	OK	0	0.106	3360	77b1dd2393e53661
cvode/serial	cvDiurnal_kry_bp		cvDiurnal_kry_bp	OK	0	0.106	6047	0651440486243145
cvode/serial	cvDiurnal_kry		cvDiurnal_kry	OK	0	0.106	2860	3d5bdd944af9101c
cvode/serial	cvKrylovDemo_ls		cvKrylovDemo_ls	OK	0	0.105	11712	24cbfc892a79f788
cvode/serial	cvKrylovDemo_ls	1	cvKrylovDemo_ls__1	OK	0	0.105	11712	24cbfc892a79f788
cvode/serial	cvKrylovDemo_ls	2	cvKrylovDemo_ls__2	OK	0	0.105	11712	24cbfc892a79f788
cvode/serial	cvKrylovDemo_prec		cvKrylovDemo_prec	OK	0	0.105	26471	b1cf95a1d917a850
cvode/serial	cvParticle_dns		cvParticle_dns	OK	0	0.105	885	fa77abe19cddd1f7
cvode/serial	cvPendulum_dns		cvPendulum_dns	OK	0	0.106	1900	66778152510991e4
cvode/serial	cvRoberts_dns		cvRoberts_dns	OK	0	0.106	2217	c23a663fee1d66b7
cvode/serial	cvRoberts_dns_constraints		cvRoberts_dns_constraints	OK	0	0.105	1261	106ba20145b7ce7c
cvode/serial	cvRoberts_dns_negsol		cvRoberts_dns_negsol	OK	0	0.106	2409	911bb744d63c8c33
cvode/serial	cvRoberts_dns_uw		cvRoberts_dns_uw	OK	0	0.106	1261	abf33560958e0f9f
cvode/serial	cvRocket_dns		cvRocket_dns	OK	0	0.106	4212	2887cbbe9072a465
cvode/serial	cvVdp_auto_nls		cvVdp_auto_nls	OK	0	0.105	2403	2046a2142816e67a
cvode/serial	cvKrylovDemo_ls	0 1	cvKrylovDemo_ls__0_1	OK	0	0.106	2472	3b2b30835739bd73
cvode/serial	cvAdvDiff_bndL		cvAdvDiff_bndL	OK	0	0.105	848	2ea0937bb293ce55
cvode/serial	cvRoberts_dnsL		cvRoberts_dnsL	OK	0	0.106	1261	abf33560958e0f9f
cvode/serial	cvRoberts_block_klu		cvRoberts_block_klu	OK	0	0.105	1198	34fb2cfe2ef09780
cvode/serial	cvRoberts_klu		cvRoberts_klu	OK	0	0.105	1245	e2319ee837288d96
cvode/serial	cvRoberts_sps		cvRoberts_sps	NOT_PORTED	-	-	0	-
